2020 2021 2022 2023 2024 change24/23

"OECD Americas 14,186 14,160 14,848 15,817 16,013 196"
"Canada 1,199 1,185 1,231 1,227 1,249 23"
Chile 1 2 2 2 2 0
"Mexico 1,663 1,665 1,622 1,653 1,553 –100"
"United States 11,323 11,308 11,992 12,935 13,208 274"
"OECD Europe 2,969 2,898 2,724 2,753 2,685 –68"
Denmark 71 66 65 58 60 2
"Norway 1,691 1,764 1,685 1,794 1,768 –26"
United Kingdom 931 792 724 645 579 –67
Others 277 276 251 255 278 23
OECD Asia Pacific 163 143 129 106 95 –12
Australia 138 121 110 85 77 –9
Others 25 22 19 21 18 –3
"China 3,889 3,988 4,094 4,181 4,244 62"
India 587 574 563 544 533 –12
"Other Asia 1,670 1,542 1,431 1,375 1,324 –52"
Brunei 85 83 71 67 75 8
Indonesia 631 585 539 540 517 –23
Malaysia 456 418 397 373 341 –31
Thailand 117 98 79 70 81 11
Vietnam 194 184 180 173 162 –11
Others 188 175 166 153 148 –5
"Latin America 5,536 5,575 6,026 6,642 7,014 372"
Argentina 480 513 582 635 701 65
"Brazil 2,940 2,905 3,022 3,402 3,356 –45"
Colombia 781 736 754 777 773 –4
Ecuador 479 473 481 475 475 0
Venezuela 569 636 716 783 921 138
Others 287 312 471 570 788 218
"Middle East 22,050 22,243 25,069 23,838 23,040 –798"
Bahrain 196 193 190 183 174 –9
"IR Iran 1,998 2,402 2,544 2,884 3,257 374"
"Iraq 3,997 3,971 4,453 4,118 3,862 –256"
"Kuwait1 2,438 2,415 2,707 2,590 2,411 –179"
Oman 762 752 848 815 760 –55
Qatar 603 601 591 611 614 2
"Saudi Arabia1 9,213 9,125 10,591 9,606 8,955 –651"
"United Arab Emirates 2,779 2,718 3,064 2,944 2,916 –28"
Others 65 68 81 87 91 4
"Africa 5,866 6,207 5,881 6,054 6,099 46"
"Algeria 899 911 1,020 973 907 –66"
"Angola 1,271 1,124 1,137 1,098 1,125 27"
Chad 115 104 104 108 111 3
Congo 300 267 262 271 260 –11
Egypt 487 445 449 453 450 –3
Equatorial Guinea 114 93 81 55 57 2
Gabon 207 181 191 223 224 0
Ghana 183 151 142 132 132 0
"Libya 389 1,207 983 1,189 1,136 –53"
"Nigeria 1,493 1,323 1,138 1,187 1,345 158"
Sudan 61 62 62 54 28 –25
South Sudan 169 159 144 147 76 –71
Others 177 180 169 164 249 85
"Russia 9,409 9,619 9,756 9,597 9,193 –404"
"Other Eurasia 2,389 2,375 2,296 2,346 2,249 –98"
Azerbaijan 611 590 558 504 479 –25
"Kazakhstan 1,506 1,519 1,487 1,598 1,534 –64"
Others 271 266 250 244 235 –9
Other Europe 114 109 103 98 97 –1
"Total world 68,828 69,434 72,920 73,352 72,584 –767"
