Country,2024
,24
OECD Americas,"16,013"
Canada,"1,249"
Chile,2
Mexico,"1,553"
United States,"13,208"
OECD Europe,"2,685"
Denmark,60
Norway,"1,768"
United Kingdom,579
Others,278
OECD Asia Pacific,95
Australia,77
Others,18
China,"4,244"
India,533
Other Asia,"1,324"
Brunei,75
Indonesia,517
Malaysia,341
Thailand,81
Vietnam,162
Others,148
Latin America,"7,014"
Argentina,701
Brazil,"3,356"
Colombia,773
Ecuador,475
Venezuela,921
Others,788
Middle East,"23,040"
Bahrain,174
IR Iran,"3,257"
Iraq,"3,862"
Kuwait,"2,411"
Oman,760
Qatar,614
Saudi Arabia,"8,955"
United Arab Emirates,"2,916"
Others,91
Africa,"6,099"
Algeria,907
Angola,"1,125"
Chad,111
Congo,260
Egypt,450
Equatorial Guinea,57
Gabon,224
Ghana,132
Libya,"1,136"
Nigeria,"1,345"
Sudan,28
South Sudan,76
Others,249
Russia,"9,193"
Other Eurasia,"2,249"
Azerbaijan,479
Kazakhstan,"1,534"
Others,235
Other Europe,97
Total world,"72,584"
